State,MV Percent,MV Number,NM Percent,NM Number,FO Percent,FO Number,ONF Percent,ONF Number,OT Percent,OT Number
Alabama,38.7,78,9.6,326,40.3,20,2.5,68,8.4,4
Alaska,42.6,9,16.7,9,16.7,5,9.3,8,14.8,0
Arizona,31.7,145,19.5,177,23.9,12,1.6,137,18.5,21
Arkansas,36.2,46,9.3,183,36.8,13,2.6,64,12.9,11
California,30.8,722,27.4,728,27.7,85,3.2,265,10.1,21
Colorado,33,77,17.8,116,26.8,8,1.8,86,19.9,3
Connecticut,36.7,40,18.1,81,36.7,6,2.7,12,5.4,1
Delaware,28.7,30,27.8,40,37,3,2.8,4,3.7,0
District of Columbia,28.6,5,35.7,4,28.6,0,0,0,0,1
Florida,36.9,579,25.8,579,25.8,32,1.4,194,8.6,34
Georgia,37,176,15.6,427,37.9,22,2,79,7,5
Hawaii,37.4,26,22.6,36,31.3,5,4.3,2,1.7,3
Idaho,33.7,15,8.9,38,22.5,8,4.7,51,30.2,0
Illinois,38.8,163,18.4,297,33.5,29,3.3,42,4.7,11
Indiana,42.6,74,10.3,241,33.6,30,4.2,52,7.2,15
Iowa,40.3,23,7,97,29.4,11,3.3,64,19.4,2
Kansas,38.6,32,8.7,129,35.1,12,3.3,49,13.3,4
Kentucky,35.7,56,8.1,315,45.4,11,1.6,61,8.8,3
Louisiana,33.9,134,20.6,227,34.8,17,2.6,46,7.1,7
Maine,37.1,10,6.6,79,52.3,2,1.3,4,2.6,0
Maryland,39.7,96,21.1,145,31.8,11,2.4,19,4.2,3
Massachusetts,25.2,86,25.8,135,40.5,11,3.3,11,3.3,6
Michigan,42.6,139,15.9,252,28.9,17,1.9,86,9.9,7
Minnesota,42.7,45,12.9,97,27.8,17,4.9,35,10,4
Mississippi,31,52,10.3,237,46.7,8,1.6,53,10.5,0
Missouri,34,86,11.3,308,40.4,26,3.4,78,10.2,5
Montana,24,8,4.2,73,38,6,3.1,57,29.7,2
Nebraska,42.1,14,7.4,52,27.4,6,3.2,37,19.5,1
Nevada,31.1,54,23,58,24.7,10,4.3,38,16.2,2
New Hampshire,30.7,9,8.9,47,46.5,1,1,8,7.9,5
New Jersey,31.6,160,28.9,170,30.7,17,3.1,22,4,9
New Mexico,31.1,65,19.2,65,19.2,4,1.2,94,27.8,4
New York,33.5,332,30.6,322,29.7,29,2.7,29,2.7,9
North Carolina,33.8,216,17.7,477,39,17,1.4,87,7.1,12
North Dakota,44.9,8,5.4,28,19,4,2.7,41,27.9,0
Ohio,42.1,121,11.8,382,37.3,32,3.1,44,4.3,14
Oklahoma,35.4,69,10.7,223,34.7,9,1.4,108,16.8,6
Oregon,33.8,69,22.6,83,27.2,5,1.6,38,12.5,5
Pennsylvania,36.3,171,14.1,491,40.5,39,3.2,48,4,22
Rhode Island,30.6,6,9.7,35,56.5,1,1.6,0,0,1
South Carolina,35.2,123,15.3,313,38.8,18,2.2,62,7.7,6
South Dakota,38.1,2,1.7,20,16.9,4,3.4,47,39.8,0
Tennessee,37.1,65,7,423,45.6,14,1.5,67,7.2,15
Texas,38.3,495,16.4,859,28.4,92,3,377,12.5,41
Utah,31,32,16,54,27,11,5.5,37,18.5,4
Vermont,28.6,9,12.9,29,41.4,2,2.9,8,11.4,2
Virginia,29.9,105,14.7,334,46.6,14,2,34,4.7,14
Washington,36.2,84,20.5,132,32.3,10,2.4,33,8.1,1
West Virginia,32.1,30,9.4,130,40.9,7,2.2,48,15.1,1
Wisconsin,36.6,49,8.9,208,37.9,30,5.5,45,8.2,16
Wyoming,33.9,6,5.4,36,32.1,2,1.8,30,26.8,0
USA,35.7,5246,17,10347,33.6,805,2.6,3009,9.8,363
